event_name,event_date,location,clinic,cost,attendees,leads_collected,notes,status,year
Venice Fest 2025,2025-11-22,,,725.5,5,109,1,completed,2025
Cat Show,2025-11-15,,,60,500,6,0,completed,2025
JAKKS Toys Health Fair,2025-11-13,,,0,5070,1714,,completed,2025
Howloween,2035-11-02,,,0,5060,0,,completed,2025
GRLSWIRL Event,2025-08-04,,,25,300,2315,,completed,2025
"DOG PPL X GDD 
POP UP CLINIC",2025-05-18,,,20,0,0,20 (including 5 walk-ins),completed,2025
World Dog Day,2025-05-17,,,500,8001000,91,,completed,2025
Balanced Dog Christmas,2024-12-14,,,0,8001000,34,,completed,2025
WinterFest 2024,2024-12-07,,,0,1000100,22,0,completed,2025
JAKKS Toys Health Fair,2024-11-12,,,0,0,43,,completed,2025
St. Barks Puppapalooza,2024-11-10,,,0,0,39,2 appointments,completed,2025
Main Street Howl-o-ween,2024-11-06,,,250,300,26,,completed,2025
Sherman Oaks Main Street Fair,2024-10-20,,,600,70000,246,"5 Appointments: 
3 General, 1 AP, 1 NAD",completed,2025
Balanced Dog Anniversary Party,2024-09-14,,,0,100,37,,completed,2025
Day of the Dog,2024-09-07,,,800,85009000,232,1 Dental (Reoccuring patient),completed,2025
DOG PPL X GDD,2024-07-20,,,0,200,0,2 AP; 2 Dentals; 1 Oral,completed,2025
Summer Soulstice,2024-07-13,,,400,0,86,N/A,completed,2025
Pawlympics,2024-06-30,,,550,300,70,N/A,completed,2025
Fluffology,2024-06-01,,,0,30,13,N/A,completed,2025
LB Art Event,2024-05-18,,,0,100,77,N/A,completed,2025
Pets on the Playa,2024-05-18,,,0,75,0,N/A,completed,2025
World Dog Day,2024-05-11,,,800,300400,119,N/A,completed,2025
Don't Tell Comedy,2024-02-23,,,0,100,4,N/A,completed,2025