event_date,month,event_name,event_type,clinic,organizer,description,status
,January,Adopt a Rescued Bird Month,Awareness,,,,awareness
,January,One Health Awareness Month,Awareness,,,,awareness
,January,Train Your Dog Month,Awareness,,,,awareness
,January,Walk Your Pet Month,Awareness,,,,awareness
2025-01-01,January,Adopt a Rescued Bird Month,Awareness,,,,awareness
2025-01-01,January,National Train Your Dog Month,Awareness,,,,awareness
2025-01-01,January,New Year's Day,National Holiday,,,,completed
2025-01-01,January,One Health Awareness Month,Awareness,,,,awareness
2025-01-01,January,Walk Your Dog Month,Awareness,,,,awareness
2025-01-01,January,Walk Your Pet Month,Awareness,,,,awareness
2025-01-02,January,Happy Mew Year for Cats Day,Awareness,,,,awareness
2025-01-02,January,National Pet Travel Safety Day,Awareness,,,,awareness
2025-01-05,January,National Bird Day,Awareness,,,,awareness
2025-01-06,January,National Cuddle Up Day,Awareness,,,,awareness
2025-01-06,January,National Standard Poodle Day,Awareness,,,,awareness
2025-01-07,January,National Alaskan Malamute Day,Awareness,,,,awareness
2025-01-08,January,National Labrador Retriever Day,Awareness,,,,awareness
2025-01-09,January,National Australian Shepherd Day,Awareness,,,,awareness
2025-01-10,February,GDD Staff Holiday Party,Staff Event,,,,completed
2025-01-13,January,National French Bulldog Day,Awareness,,,,awareness
2025-01-14,January,National Dress Up Your Pet Day,Awareness,,,,awareness
2025-01-15,January,National American Eskimo Dog Day,Awareness,,,,awareness
2025-01-17,January,National Boxer Day,Awareness,,,,awareness
2025-01-19,February,Martin Luther King Jr. Day,National Holiday,,,,completed
2025-01-19,January,National Conservation Dog Day,Awareness,,,,awareness
2025-01-20,January,Inauguration Day (DC only),Awareness,,,,awareness
2025-01-20,January,Penguin Awareness Day,Awareness,,,,awareness
2025-01-21,January,National Squirrel Appreciation Day,Awareness,,,,awareness
2025-01-21,January,Squirrel Appreciation Day,Awareness,,,,awareness
2025-01-22,January,National Answer Your Catâ€™s Question Day,Awareness,,,,awareness
2025-01-22,January,National Yorkshire Terrier Day,Awareness,,,,awareness
2025-01-24,January,Change a Petâ€™s Life Day,Awareness,,,,awareness
2025-01-24,January,Peanut Butter Day,Awareness,,,,awareness
2025-01-29,January,Seeing-Eye Guide Dog Anniversary,Awareness,,,,awareness
2025-01-29,January,Tuxedo Cat Appreciation Day,Awareness,,,,awareness
,February,Adopt a Rescued Rabbit Month,Awareness,,,,awareness
,February,Bird Health Awareness Week,Awareness,,,,awareness
,February,Have a Heart for Chained Dogs Week,Awareness,,,,awareness
,February,Heart Month,Awareness,,,,awareness
,February,National Justice for Animals Week,Awareness,,,,awareness
,February,National Pet Dental Health Month,Awareness,,,,awareness
,February,Responsible Pet Owners Month,Awareness,,,,awareness
,February,Veterinary Assistant Appreciation Week,Awareness,,,,awareness
2025-02-01,February,Adopt a Rescued Rabbit Month,Awareness,,,,awareness
2025-02-01,February,Dog Training Education Month,Awareness,,,,awareness
2025-02-01,February,Heart Month,Awareness,,,,awareness
2025-02-01,February,National Cat Health Month,Awareness,,,,awareness
2025-02-01,February,National Serpent Day,Awareness,,,,awareness
2025-02-01,February,Pet Dental Health Month,Awareness,,,,awareness
2025-02-01,February,Responsible Pet Owners Month,Awareness,,,,awareness
2025-02-01,February,Spay/Neuter Awareness Month (AKA Beat the Heat Month),Awareness,,,,awareness
2025-02-01,February,World Greyhound Day,Awareness,,,,awareness
2025-02-02,February,National Brown Dog Day,Awareness,,,,awareness
2025-02-02,February,National Hedgehog Day,Awareness,,,,awareness
2025-02-03,February,Doggie Date Night,Awareness,,,,awareness
2025-02-03,February,National Golden Retriever Day,Awareness,,,,awareness
2025-02-04,February,World Cancer Day,Awareness,,,,awareness
2025-02-14,February,Pet Theft Awareness Day,Awareness,,,,awareness
2025-02-14,February,Valentineâ€™s Day,Awareness,,,,awareness
2025-02-17,February,Washington's Birthday (Presidents' Day),Awareness,,,,awareness
2025-02-19,February,National Boston Terrier Day,Awareness,,,,awareness
2025-02-19,February,National Whippet Day,Awareness,,,,awareness
2025-02-20,February,Love Your Pet Day,Awareness,,,,awareness
2025-02-21,February,International Skye Terrier Day,Awareness,,,,awareness
2025-02-22,February,National Wildlife Day,Awareness,,,,awareness
2025-02-22,February,Walking the Dog Day,Awareness,,,,awareness
2025-02-23,February,International Dog Biscuit Appreciation Day,Awareness,,,,awareness
2025-02-23,February,National Dog Biscuit Day,Awareness,,,,awareness
2025-02-25,February,World Spay Day,Awareness,,,,awareness
2025-02-27,February,International Polar Bear Day,Awareness,,,,awareness
2025-02-27,February,World Spay Day (last Tuesday in February),Awareness,,,,awareness
,March,National Poison Prevention Week (third full week in March),Awareness,,,,awareness
,March,Professional Pet Sitters Week (first full week in March),Awareness,,,,awareness
2025-03-01,March,Adopt a Rescued Guinea Pig Month,Awareness,,,,awareness
2025-03-01,March,Employee Appreciation Day (first Friday in March),Awareness,,,,awareness
2025-03-01,March,National Horse Protection Day,Awareness,,,,awareness
2025-03-01,March,National Peanut Butter Loverâ€™s Day,Awareness,,,,awareness
2025-03-01,March,National Pig Day,Awareness,,,,awareness
2025-03-01,March,National Welsh Corgi Day,Awareness,,,,awareness
2025-03-01,March,Poison Prevention Awareness Month,Awareness,,,,awareness
2025-03-01,March,Social Work Month,Awareness,,,,awareness
2025-03-02,March,International Rescue Cat Day,Awareness,,,,awareness
2025-03-03,March,If Pets Had Thumbs Day,Awareness,,,,awareness
2025-03-03,March,Tripawd Awareness Day,Awareness,,,,awareness
2025-03-03,March,World Wildlife Day,Awareness,,,,awareness
2025-03-08,March,International Akita Day,Awareness,,,,awareness
2025-03-08,March,International Womenâ€™s Day,Awareness,,,,awareness
2025-03-10,March,Histotechnology Professionals Day,Awareness,,,,awareness
2025-03-13,March,K-9 Veterans Day,Awareness,,,,awareness
2025-03-13,March,K9 Veterans Day,Awareness,,,,awareness
2025-03-13,March,World Kidney Day (second Thursday in March),Awareness,,,,awareness
2025-03-14,March,UK Dog Theft Awareness Day,Awareness,,,,awareness
2025-03-15,March,National Catio Day,Awareness,,,,awareness
2025-03-16,March,National Panda Day,Awareness,,,,awareness
2025-03-16,March,Poison Prevention Week,Awareness,,,,awareness
2025-03-17,March,Saint Gertrude of Nivelles Day (patron saint of cats),Awareness,,,,awareness
2025-03-19,March,World Social Work Day,Awareness,,,,awareness
2025-03-20,March,National Westie Day,Awareness,,,,awareness
2025-03-20,March,World Sparrow Day,Awareness,,,,awareness
2025-03-23,March,Cuddly Kitten Day,Awareness,,,,awareness
2025-03-23,March,National Puppy Day,Awareness,,,,awareness
2025-03-25,March,National Newfoundland Dog Day,Awareness,,,,awareness
2025-03-26,March,Manatee Appreciation Day,Awareness,,,,awareness
2025-03-27,March,National Terrier Day,Awareness,,,,awareness
2025-03-28,March,Respect Your Cat Day,Awareness,,,,awareness
2025-03-29,March,Eid al-Fitr,Awareness,,,,awareness
2025-03-29,March,Ramadan Ends,Awareness,,,,awareness
2025-03-30,March,National Doctorâ€™s Day,Awareness,,,,awareness
2025-03-30,March,Take a Walk in the Park Day,Awareness,,,,awareness
2025-04-01,April,Canine Fitness Month (AKA Active Dog Month),Awareness,,,,awareness
2025-04-01,April,Celebrate Diversity Month,Awareness,,,,awareness
2025-04-01,April,International Bull Terrier Day,Awareness,,,,awareness
2025-04-01,April,National Adopt a Greyhound Month,Awareness,,,,awareness
2025-04-01,April,National Frog Month,Awareness,,,,awareness
2025-04-01,April,National Heartworm Awareness Month,Awareness,,,,awareness
2025-04-01,April,National Pet First Aid Awareness Month,Awareness,,,,awareness
2025-04-01,April,Prevention of Cruelty to Animals Month,Awareness,,,,awareness
2025-04-01,April,Prevention of Lyme Disease in Dogs Month,Awareness,,,,awareness
2025-04-01,April,National Frog Month,Awareness,,,,awareness
2025-04-01,April,National Heartworm Awareness Month,Awareness,,,,awareness
2025-04-01,April,National Pet ID Week,Awareness,,,,awareness
2025-04-01,April,National Public Health Week,Awareness,,,,awareness
2025-04-01,April,Prevention of Cruelty to Animals Month,Awareness,,,,awareness
2025-04-01,April,Prevention of Lyme Disease in Dogs Month,Awareness,,,,awareness
2025-04-02,April,National Ferret Day,Awareness,,,,awareness
2025-04-04,April,World Rat Day,Awareness,,,,awareness
2025-04-04,April,World Stray Animal Day,Awareness,,,,awareness
2025-04-05,April,Every Day is Tag Day,Awareness,,,,awareness
2025-04-06,April,Every Day is Tag Day (first Saturday in April),Awareness,,,,awareness
2025-04-06,April,National Ferret Day,Awareness,,,,awareness
2025-04-06,April,National Siamese Cat Day,Awareness,,,,awareness
2025-04-07,April,National Pet Health Insurance Day,Awareness,,,,awareness
2025-04-07,April,National Public Health Week,Awareness,,,,awareness
2025-04-07,April,World Health Day,Awareness,,,,awareness
2025-04-08,April,National Dog Fighting Awareness Day,Awareness,,,,awareness
2025-04-10,April,National Farm Animals Day,Awareness,,,,awareness
2025-04-10,April,National Hug Your Dog Day,Awareness,,,,awareness
2025-04-10,April,National Siblings Day,Awareness,,,,awareness
2025-04-11,April,Dog Therapy Appreciation Day,Awareness,,,,awareness
2025-04-11,April,National Pet Day,Awareness,,,,awareness
2025-04-12,April,World Hamster Day,Awareness,,,,awareness
2025-04-13,April,National Animal Care and Control Appreciation Week,Awareness,,,,awareness
2025-04-13,April,National Dog Bite Prevention WeekÂ®,Awareness,,,,awareness
2025-04-14,April,National Dolphin Day,Awareness,,,,awareness
2025-04-14,April,American Red Cross Pet First Aid Awareness Month,Awareness,,,,awareness
2025-04-14,April,International Pooper Scooper Week,Awareness,,,,awareness
2025-04-14,April,National Dog Bite Prevention Week (second full week in April),Awareness,,,,awareness
2025-04-15,April,Animal Care and Control Appreciation Week (second week in April),Awareness,,,,awareness
2025-04-16,April,Biomedical Research Awareness Day,Awareness,,,,awareness
2025-04-17,April,Biomedical Research Awareness Day,Awareness,,,,awareness
2025-04-17,April,International Bat Appreciation Day,Awareness,,,,awareness
2025-04-17,April,National Pet ID Week,Awareness,,,,awareness
2025-04-17,April,Animal Cruelty/Human Violence Awareness Week (third week in April),Awareness,,,,awareness
2025-04-18,April,Pet Owners Day,Awareness,,,,awareness
2025-04-19,April,Dog Parent Appreciation Day,Awareness,,,,awareness
2025-04-19,April,National Cat Lady Day,Awareness,,,,awareness
2025-04-20,April,4/20 Day,Awareness,,,,awareness
2025-04-21,April,Bulldogs are Beautiful Day,Awareness,,,,awareness
2025-04-22,April,Earth Day,Awareness,,,,awareness
2025-04-22,April,National Beagle Day,Awareness,,,,awareness
2025-04-22,April,Pet CPR Day,Awareness,,,,awareness
2025-04-23,April,National Lost Dog Awareness Day,Awareness,,,,awareness
,April,Veterinary Receptionist Week (last full week of April),Awareness,,,,awareness
2025-04-23,April,National Scoop the Poop Week,Awareness,,,,awareness
2025-04-24,April,International Guide Dog Day (last Wednesday in April),Awareness,,,,awareness
2025-04-25,April,Hairball Awareness Day,Awareness,,,,awareness
2025-04-25,April,World Penguin Day,Awareness,,,,awareness
2025-04-26,April,Hairball Awareness Day (last Friday in April),Awareness,,,,awareness
2025-04-26,April,National Kids and Pets Day,Awareness,,,,awareness
2025-04-27,April,National Little Pampered Dog Day,Awareness,,,,awareness
2025-04-27,April,World Veterinary Day,Awareness,,,,awareness
2025-04-27,April,World Veterinary Day (last Saturday in April),Awareness,,,,awareness
2025-04-28,April,National Pet Parents Day (last Sunday in April),Awareness,,,,awareness
2025-04-30,April,Adopt a Shelter Pet Day,Awareness,,,,awareness
2025-04-30,April,International Guide Dog Day,Awareness,,,,awareness
2025-04-30,April,National Adopt a Shelter Pet Day,Awareness,,,,awareness
2025-04-30,April,National Tabby Day,Awareness,,,,awareness
2025-04-30,April,National Therapy Animal Day,Awareness,,,,awareness
,May,Arthritis Awareness Month,Awareness,,,,awareness
,May,Asthma and Allergy Awareness Month,Awareness,,,,awareness
,May,Dog Anxiety Awareness Week,Awareness,,,,awareness
,May,National Pet Week (first full week of May starting on a Sunday),Awareness,,,,awareness
,May,National Service Dog Eye Examination Month,Awareness,,,,awareness
,May,Westminster Kennel Club Annual Dog Show,Awareness,,,,awareness
2025-05-01,May,Arthritis Awareness Month,Awareness,,,,awareness
2025-05-01,May,Asthma and Allergy Awareness Month,Awareness,,,,awareness
2025-05-01,May,Chip Your Pet Month,Awareness,,,,awareness
2025-05-01,May,International Samoyed Day,Awareness,,,,awareness
2025-05-01,May,Mental Health Awareness Month,Awareness,,,,awareness
2025-05-01,May,National Foster Care Month,Awareness,,,,awareness
2025-05-01,May,National Pet Month,Awareness,,,,awareness
2025-05-01,May,National Purebred Dog Day,Awareness,,,,awareness
2025-05-01,May,National Service Animal Eye Exam Month,Awareness,,,,awareness
2025-05-01,May,Pet Cancer Awareness Month,Awareness,,,,awareness
2025-05-01,May,Responsible Animal Guardian Month,Awareness,,,,awareness
2025-05-03,May,National Specially-Abled Pets Day,Awareness,,,,awareness
2025-05-03,May,National Specially-abled Pets Day,Awareness,,,,awareness
2025-05-03,May,National Wildfire Preparedness Day,Awareness,,,,awareness
2025-05-04,May,Be Kind to Animals WeekÂ®,Awareness,,,,awareness
2025-05-04,May,Bird Day,Awareness,,,,awareness
2025-05-04,May,National Pet WeekÂ®,Awareness,,,,awareness
2025-05-04,May,Star Wars Day,Awareness,,,,awareness
2025-05-04,May,Wildfire Preparedness Day,Awareness,,,,awareness
2025-05-05,May,Mayday for Mutts (first Sunday in May),Awareness,,,,awareness
2025-05-08,May,National Animal Disaster Preparedness Day,Awareness,,,,awareness
2025-05-10,May,German Shepherd Day,Awareness,,,,awareness
2025-05-10,May,International Migratory Bird Day,Awareness,,,,awareness
2025-05-11,May,Migratory Bird Day (second Saturday in May),Awareness,,,,awareness
2025-05-11,May,National Dog Momâ€™s Day (second Saturday in May),Awareness,,,,awareness
2025-05-12,May,Motherâ€™s Day,Awareness,,,,awareness
2025-05-14,May,International Chihuahua Appreciation Day,Awareness,,,,awareness
2025-05-16,May,National Endangered Species Day,Awareness,,,,awareness
2025-05-17,May,Endangered Species Day,Awareness,,,,awareness
2025-05-20,May,National Rescue Dog Day,Awareness,,,,awareness
2025-05-21,May,World Dog Day (third Saturday in May),Awareness,,,,awareness
2025-05-23,May,World Turtle Day,Awareness,,,,awareness
2025-05-25,May,International Cavalier King Charles Spaniel Day,Awareness,,,,awareness
2025-05-26,May,Memorial Day,Awareness,,,,awareness
2025-05-27,May,Memorial Day,Awareness,,,,awareness
2025-05-31,May,World Parrot Day,Awareness,,,,awareness
,June,Adopt a Shelter Cat Month,Awareness,,,,awareness
,June,Adopt-a-Cat MonthÂ®,Awareness,,,,awareness
,June,Animal Rights Awareness Week (third week in June),Awareness,,,,awareness
,June,National Dairy Month,Awareness,,,,awareness
,June,National Dog Bite Awareness Week,Awareness,,,,awareness
